"website";"flightno";"depsched";"depact";"depgate";"arrivalsched";"arrivalact";"arrivalgat"
"aa";"AA-1007-TPA-MIA";2011-12-01 13:55:00;2011-12-01 14:07:00;"F78";2011-12-01 15:00:00;2011-12-01 14:57:00;"D5"
"aa";"AA-1518-DFW-SDF";2011-12-01 12:10:00;2011-12-01 12:17:00;"C20";2011-12-01 15:10:00;2011-12-01 14:57:00;"A15"
"aa";"AA-185-JFK-LAX";2011-12-01 21:00:00;;"46";2011-12-02 00:23:00;;"47B"
"aa";"AA-3592-MIA-CLE";2011-12-01 15:15:00;2011-12-01 15:25:00;"D60";2011-12-01 18:10:00;2011-12-01 18:20:00;"A3"
"aa";"AA-393-DFW-DEN";2011-12-01 06:55:00;2011-12-01 07:06:00;"C37";2011-12-01 07:55:00;2011-12-01 07:55:00;"A49"
"aa";"AA-3508-ATL-MIA";2011-12-01 19:40:00;2011-12-01 19:57:00;"T10";2011-12-01 21:40:00;2011-12-01 21:22:00;"D53"
"aa";"AA-637-ORD-LAX";2011-12-01 16:40:00;2011-12-01 16:56:00;"K5";2011-12-01 19:10:00;;"41"
"aa";"AA-649-ORD-SNA";2011-12-01 13:30:00;;"H10";2011-12-01 15:50:00;;"7"
"aa";"AA-463-ORF-DFW";2011-12-01 06:30:00;2011-12-01 06:32:00;"B17";2011-12-01 09:10:00;2011-12-01 08:26:00;"C2"
"aa";"AA-3921-MEM-ORD";2011-12-01 17:20:00;2011-12-01 17:27:00;"C12A";2011-12-01 19:30:00;2011-12-01 18:50:00;"G6A"
"aa";"AA-1538-DFW-MCO";2011-12-01 20:40:00;2011-12-01 21:25:00;"D25";2011-12-02 23:55:00;;"16"
"aa";"AA-1367-ATL-DFW";2011-12-01 16:26:00;;"T12";2011-12-01 17:56:00;;"C19"
"aa";"AA-1593-MCO-MIA";2011-12-01 12:05:00;2011-12-01 12:17:00;"16";2011-12-01 13:05:00;2011-12-01 12:58:00;"D2"
"aa";"AA-821-JFK-FLL";2011-12-01 15:45:00;2011-12-01 16:23:00;"43";2011-12-01 19:05:00;2011-12-01 18:56:00;"E4"
"aa";"AA-3536-CLT-MIA";2011-12-01 16:40:00;2011-12-01 16:57:00;"A9";2011-12-01 18:50:00;2011-12-01 18:34:00;"D60"
"aa";"AA-1294-IAH-MIA";2011-12-01 17:35:00;2011-12-01 17:48:00;"A27";2011-12-01 21:00:00;2011-12-01 20:58:00;"D4"
"aa";"AA-2435-ORD-PHX";2011-12-01 12:40:00;2011-12-01 13:29:00;"H6";2011-12-01 15:25:00;2011-12-01 16:09:00;"6"
"aa";"AA-3063-SLC-LAX";2011-12-01 20:20:00;2011-12-01 20:39:00;"A3";2011-12-01 21:20:00;;"44I"
"aa";"AA-2238-DFW-CLT";2011-12-01 17:10:00;2011-12-01 17:33:00;"C8";2011-12-01 20:25:00;2011-12-01 20:37:00;"A9"
"aa";"AA-222-LAX-BOS";2011-12-01 07:10:00;2011-12-01 07:31:00;"47A";2011-12-01 15:30:00;2011-12-01 15:14:00;"B36"
"aa";"AA-3732-MSP-ORD";2011-12-01 15:55:00;2011-12-01 16:14:00;"E12";2011-12-01 17:25:00;2011-12-01 17:25:00;"G11"
"aa";"AA-1381-DFW-SFO";2011-12-01 14:50:00;2011-12-01 15:06:00;"C11";2011-12-01 16:30:00;2011-12-01 16:18:00;"56B"
"aa";"AA-3468-CVG-MIA";2011-12-01 07:00:00;2011-12-01 07:25:00;"5";2011-12-01 09:55:00;2011-12-01 09:45:00;"D60"
"aa";"AA-4344-DTW-ORD";2011-12-01 14:45:00;2011-12-01 14:54:00;"D28";2011-12-01 15:10:00;2011-12-01 15:04:00;"H5"
"aa";"AA-192-LAX-BOS";2011-12-01 22:05:00;;"46A";2011-12-02 06:20:00;;"B34"
"aa";"AA-1667-DFW-SAT";2011-12-01 19:40:00;2011-12-01 20:35:00;"C28";2011-12-01 20:45:00;2011-12-01 21:21:00;"B4"
"aa";"AA-2419-MCO-DFW";2011-12-01 07:45:00;2011-12-01 07:54:00;"16";2011-12-01 09:45:00;2011-12-01 09:36:00;"D27"
"aa";"AA-3544-MEM-MIA";2011-12-01 13:35:00;2011-12-01 13:42:00;"C12A";2011-12-01 16:55:00;2011-12-01 16:45:00;"D53"
"aa";"AA-1956-CCS-MIA";2011-12-02 08:35:00;2011-12-02 08:34:00;"27";2011-12-01 11:30:00;2011-12-01 11:09:00;"D37"
"aa";"AA-3842-MSP-ORD";2011-12-01 06:00:00;2011-12-01 06:56:00;"E14";2011-12-01 07:30:00;2011-12-01 07:51:00;"G8"
"aa";"AA-18-SFO-JFK";2011-12-01 23:00:00;;"56A";2011-12-02 07:25:00;;"3"
"aa";"AA-415-ORD-SEA";2011-12-01 11:35:00;2011-12-01 11:49:00;"K18";2011-12-01 14:05:00;;"A9"
"aa";"AA-1960-MIA-TPA";2011-12-01 16:45:00;2011-12-01 17:02:00;"D47";2011-12-01 17:45:00;2011-12-01 17:44:00;"F79"
"aa";"AA-1210-ORD-BOS";2011-12-01 12:10:00;2011-12-01 12:23:00;"K7";2011-12-01 15:15:00;2011-12-01 15:05:00;"B35"
"aa";"AA-3591-CLE-MIA";2011-12-01 17:30:00;2011-12-01 17:35:00;"A1";2011-12-01 20:35:00;2011-12-01 20:10:00;"D60"
"aa";"AA-518-MIA-JFK";2011-12-01 06:40:00;2011-12-01 06:54:00;"D22";2011-12-01 09:25:00;2011-12-01 09:28:00;"6"
"aa";"AA-1007-MIA-PHX";2011-12-01 16:55:00;2011-12-01 17:08:00;"D5";2011-12-01 20:05:00;2011-12-01 19:55:00;"4"
"aa";"AA-1687-BWI-MIA";2011-12-01 10:20:00;2011-12-01 10:35:00;"C8";2011-12-01 13:05:00;2011-12-01 12:38:00;"D47"
"aa";"AA-33-JFK-LAX";2011-12-01 07:40:00;2011-12-01 07:59:00;"5";2011-12-01 11:05:00;2011-12-01 10:33:00;"49A"
"aa";"AA-1640-MIA-MCO";2011-12-01 18:30:00;;"E5";2011-12-01 19:25:00;;"14"
"aa";"AA-1039-ATL-MIA";2011-12-01 13:25:00;2011-12-01 13:46:00;"T11";2011-12-01 15:20:00;2011-12-01 15:14:00;"D48"
"aa";"AA-2049-DFW-DEN";2011-12-01 08:50:00;2011-12-01 09:26:00;"C19";2011-12-01 09:55:00;2011-12-01 10:28:00;"A49"
"aa";"AA-3356-DFW-CVG";2011-12-01 10:35:00;2011-12-01 10:46:00;"B20";2011-12-01 13:45:00;2011-12-01 13:39:00;"1"
"aa";"AA-3753-MSP-ORD";2011-12-01 09:55:00;2011-12-01 10:02:00;"E14";2011-12-01 11:25:00;2011-12-01 11:05:00;"G11"
"aa";"AA-1048-MIA-IAD";2011-12-01 20:30:00;;"E9";2011-12-01 22:55:00;;
"aa";"AA-442-SFO-MIA";2011-12-01 13:05:00;2011-12-01 13:30:00;"57";2011-12-01 21:30:00;;"D3"
"aa";"AA-3728-EWR-ORD";2011-12-01 13:25:00;2011-12-01 13:33:00;"30";2011-12-01 15:10:00;2011-12-01 14:40:00;"G1B"
"aa";"AA-1990-TUS-ORD";2011-12-01 14:10:00;2011-12-01 14:24:00;"A7";2011-12-01 18:40:00;2011-12-01 18:11:00;"K4"
"aa";"AA-1544-SAN-ORD";2011-12-01 11:25:00;2011-12-01 11:40:00;"27";2011-12-01 17:25:00;2011-12-01 16:56:00;"H17"
"aa";"AA-487-SJU-CCS";2011-12-01 13:00:00;2011-12-01 13:16:00;"9";2011-12-01 14:10:00;2011-12-01 14:10:00;"24"
