"website";"flightno";"depsched";"depact";"depgate";"arrivalsched";"arrivalact";"arrivalgat"
"airtravelcenter";"AA-1007-TPA-MIA";;2011-12-01 14:06:00;;;2011-12-01 14:51:00;
"airtravelcenter";"AA-1518-DFW-SDF";;2011-12-01 12:18:00;;;2011-12-01 14:53:00;
"airtravelcenter";"UA-4642-IAH-AMA";2011-12-01 18:20:00;;;2011-12-01 20:03:00;;
"airtravelcenter";"UA-432-SFO-ORD";;2011-12-01 06:25:00;;;2011-12-01 12:08:00;
"airtravelcenter";"CO-4461-EWR-CVG";2011-12-01 13:55:00;;;2011-12-01 16:00:00;;
"airtravelcenter";"UA-2706-EWR-CLT";;2011-12-01 18:47:00;;;2011-12-01 20:05:00;
"airtravelcenter";"UA-581-DEN-IAD";;2011-12-01 09:27:00;;;2011-12-01 14:00:00;
"airtravelcenter";"UA-779-BOS-DEN";;2011-12-01 14:51:00;;;2011-12-01 17:17:00;
"airtravelcenter";"UA-2708-EWR-CLT";;2011-12-01 15:04:00;;;2011-12-01 16:22:00;
"airtravelcenter";"CO-53-LAX-IAH";2011-12-01 14:40:00;;;2011-12-01 19:48:00;;
"airtravelcenter";"CO-1030-DEN-IAH";2011-12-01 14:15:00;;;2011-12-01 17:38:00;;
"airtravelcenter";"UA-1005-BOS-IAH";2011-12-01 16:19:00;;;2011-12-01 19:49:00;;
"airtravelcenter";"AA-185-JFK-LAX";;2011-12-01 21:04:00;;;2011-12-01 23:35:00;
"airtravelcenter";"AA-3592-MIA-CLE";;2011-12-01 15:26:00;;;2011-12-01 18:03:00;
"airtravelcenter";"UA-3925-IAD-ORF";;2011-12-01 09:00:00;;;2011-12-01 09:29:00;
"airtravelcenter";"UA-1977-CLT-CVG";2011-12-01 11:45:00;;;2011-12-01 13:14:00;;
"airtravelcenter";"AA-393-DFW-DEN";;2011-12-01 07:07:00;;;2011-12-01 07:45:00;
"airtravelcenter";"AA-3508-ATL-MIA";;2011-12-01 19:58:00;;;2011-12-01 21:22:00;
"airtravelcenter";"UA-2690-DTW-PHL";;2011-12-01 07:47:00;;;2011-12-01 08:57:00;
"airtravelcenter";"CO-1097-IAH-LAX";2011-12-01 13:05:00;;;2011-12-01 14:53:00;;
"airtravelcenter";"UA-2546-CLT-PBI";;2011-12-01 13:41:00;;;2011-12-01 14:59:00;
"airtravelcenter";"UA-5910-MEM-DEN";2011-12-01 13:43:00;;;2011-12-01 15:31:00;;
