"website";"flightno";"depsched";"depact";"depgate";"arrivalsched";"arrivalact";"arrivalgat"
"dfw";"AA-1518-DFW-SDF";2011-12-01 12:10:00;;"C20";;;
"dfw";"AA-1538-DFW-MCO";2011-12-01 20:40:00;;"D25";;;
"dfw";"AA-1367-ATL-DFW";;;;2011-12-01 17:56:00;;"C19"
"dfw";"AA-2238-DFW-CLT";2011-12-01 17:10:00;;"C8";;;
"dfw";"AA-1381-DFW-SFO";2011-12-01 14:50:00;;"C11";;;
"dfw";"AA-1667-DFW-SAT";2011-12-01 19:40:00;;"C28";;;
"dfw";"AA-3356-DFW-CVG";2011-12-01 10:35:00;;"B20";;;
"dfw";"AA-1309-DFW-SFO";2011-12-01 13:55:00;;"C27";;;
"dfw";"AA-1066-DFW-DCA";2011-12-01 10:30:00;;"D38";;;
"dfw";"AA-1279-DFW-PHX";2011-12-01 13:00:00;;"C36";;;
"dfw";"AA-2459-DFW-LAX";2011-12-01 16:45:00;;"D40";;;
"dfw";"AA-1592-DFW-MCO";2011-12-01 12:40:00;;"C39";;;
"dfw";"AA-2431-DFW-LAX";2011-12-01 12:30:00;;"C26";;;
"dfw";"AA-1397-DCA-DFW";;;;2011-12-01 14:05:00;;"C4"
"dfw";"AA-1710-LAS-DFW";;;;2011-12-01 19:25:00;;"C26"
"dfw";"AA-2513-DFW-DEN";2011-12-01 20:20:00;;"C8";;;
"dfw";"AA-1106-DFW-OKC";2011-12-01 21:25:00;;"C22";;;
"dfw";"AA-2493-DFW-LAX";2011-12-01 21:35:00;;"D38";;;
"dfw";"AA-1472-DFW-ATL";2011-12-01 11:35:00;;"C31";;;
"dfw";"AA-2495-DFW-LAX";2011-12-01 22:30:00;;"D31";;;
"dfw";"AA-1494-LAS-DFW";;;;2011-12-01 12:55:00;;"C28"
"dfw";"CO-1220-EWR-DFW";;;;2011-12-01 18:34:00;;"E10"
"dfw";"AA-2419-DFW-LAX";2011-12-01 10:45:00;;"D27";;;
"dfw";"AA-2907-DFW-CVG";2011-12-01 15:35:00;;"B13";;;
"dfw";"AA-2463-DFW-LAX";2011-12-01 17:10:00;;"D17";;;
"dfw";"AA-1445-ATL-DFW";;;;2011-12-01 12:30:00;;"C16"
"dfw";"AA-1607-DFW-PHX";2011-12-01 15:20:00;;"C36";;;
"dfw";"AA-2428-LAX-DFW";;;;2011-12-01 13:25:00;;"C26"
"dfw";"AA-484-DFW-MIA";2011-12-01 16:15:00;;"D18";;;
"dfw";"AA-2473-DFW-LAX";2011-12-01 18:05:00;;"D29";;;
"dfw";"AA-2459-RSW-DFW";;;;2011-12-01 15:50:00;;"A21"
"dfw";"AA-436-SAN-DFW";;;;2011-12-01 15:05:00;;"C24"
"dfw";"AA-1710-DFW-IAD";2011-12-01 20:40:00;;"C26";;;
"dfw";"AA-2446-LAX-DFW";;;;2011-12-01 18:10:00;;"D21"
"dfw";"AA-2312-DFW-DTW";2011-12-01 20:25:00;;"C39";;;
"dfw";"AA-1374-DFW-FLL";2011-12-01 16:55:00;;"C28";;;
"dfw";"AA-1063-DFW-SNA";2011-12-01 10:40:00;;"C27";;;
"dfw";"AA-1578-SEA-DFW";;;;2011-12-01 19:35:00;;"C15"
"dfw";"AA-847-MCI-DFW";;;;2011-12-01 18:55:00;;"C16"
"dfw";"AA-400-DFW-JFK";2011-12-01 10:40:00;;"D18";;;
"dfw";"AA-2863-DFW-CVG";2011-12-01 12:30:00;;"D11";;;
"dfw";"AA-1084-DFW-FLL";2011-12-01 19:30:00;;"D31";;;
"dfw";"AA-1607-OKC-DFW";;;;2011-12-01 14:30:00;;"C36"
"dfw";"AA-446-DFW-PHL";2011-12-01 11:50:00;;"D16";;;
"dfw";"AA-1397-DFW-SNA";2011-12-01 15:15:00;;"C4";;;
"dfw";"AA-689-DFW-SLC";2011-12-01 10:10:00;;"C29";;;
"dfw";"AA-1688-CUN-DFW";;;;2011-12-01 18:20:00;;"D28"
"dfw";"AA-2885-DFW-CVG";2011-12-01 18:00:00;;"B14";;;
"dfw";"AA-610-DFW-BOS";2011-12-01 19:15:00;;"C11";;;
"dfw";"AA-1667-DEN-DFW";;;;2011-12-01 18:50:00;;"C28"
"dfw";"AA-1688-DFW-MIA";2011-12-01 20:15:00;;"D17";;;
"dfw";"AA-2463-TUL-DFW";;;;2011-12-01 16:10:00;;"D17"
"dfw";"AA-743-LGA-DFW";;;;2011-12-01 15:45:00;;"C11"
"dfw";"AA-1193-DFW-SAN";2011-12-01 15:50:00;;"C7";;;
"dfw";"AA-282-YVR-DFW";;;;2011-12-01 14:15:00;;"D17"
"dfw";"AA-524-ICT-DFW";;;;2011-12-01 16:00:00;;"A17"
"dfw";"CO-1219-EWR-DFW";;;;2011-12-01 15:15:00;;"E7"
"dfw";"AA-1125-DFW-PVR";2011-12-01 12:15:00;;"D27";;;
"dfw";"AA-1436-DFW-CLT";2011-12-01 11:30:00;;"C7";;;
"dfw";"AA-1044-DFW-CMH";2011-12-01 10:10:00;;"C33";;;
"dfw";"AA-1184-PHX-DFW";;;;2011-12-01 17:10:00;;"C27"
"dfw";"AA-2428-DFW-IAH";2011-12-01 14:25:00;;"C26";;;
"dfw";"AA-1223-DFW-DEN";2011-12-01 12:15:00;;"C27";;;
"dfw";"AA-1998-DFW-DCA";2011-12-01 14:40:00;;"C31";;;
"dfw";"AA-1332-DFW-ATL";2011-12-01 20:55:00;;"C7";;;
"dfw";"AA-1217-FLL-DFW";;;;2011-12-01 13:15:00;;"C31"
"dfw";"AA-2495-BDL-DFW";;;;2011-12-01 21:25:00;;"D31"
"dfw";"AA-524-DFW-DTW";2011-12-01 17:25:00;;"C15";;;
"dfw";"AA-474-DFW-ATL";2011-12-01 12:35:00;;"C19";;;
"dfw";"AA-2446-DFW-MIA";2011-12-01 19:10:00;;"D21";;;
"dfw";"CO-1221-EWR-DFW";;;;2011-12-01 21:22:00;;"E8"
"dfw";"AA-2059-DFW-SLC";2011-12-01 22:20:00;;"C20";;;
